uid,1,2,3
u00,2111,760.111795358,1158.03796351,
u01,2179,764.026158788,1031.94976323,
u02,1483,849.729602158,1269.35354045,
u03,478,519.866108787,819.854491143,
u04,2737,550.232371209,714.199520783,
u05,1640,662.570731707,1030.28529662,
u07,1373,588.976693372,958.204897097,
u08,2560,588.649609375,821.95414384,
u09,2269,755.657117673,1066.20693037,
u10,2260,510.745132743,794.55654056,
u12,1796,720.531737194,1019.36403878,
u13,1915,418.838642298,636.73302589,
u14,1879,871.337945716,1298.96623565,
u15,1052,734.803231939,918.054581868,
u16,1723,596.967498549,881.176695926,
u17,1396,626.04226361,947.014012646,
u18,1051,739.227402474,1034.11668065,
u19,1686,620.862989324,1074.98503346,
u20,1052,451.978136882,766.787637588,
u22,1109,585.124436429,910.97950162,
u23,1315,472.834980989,697.016981242,
u24,1048,734.900763359,1048.1765928,
u25,1121,865.82426405,1418.20599211,
u27,2212,459.150994575,734.202033959,
u30,2107,917.590887518,1298.92230356,
u31,2555,463.342074364,661.702641434,
u32,1955,836.494629156,1245.10262917,
u33,902,1051.05654102,1510.19113612,
u34,1139,612.045654083,813.396964474,
u35,1427,537.219341275,764.358488709,
u36,1914,418.650992685,661.7084372,
u39,435,255.691954023,279.313117006,
u41,1213,664.974443528,922.522463976,
u42,1147,601.419354839,804.526320098,
u43,1731,602.821490468,1095.7571315,
u44,1401,456.995717345,641.068990033,
u45,1259,632.503574265,917.013002291,
u46,1907,754.106974305,1219.74696475,
u47,902,400.430155211,613.966616983,
u49,1662,525.60709988,867.437482435,
u50,927,412.362459547,606.239378312,
u51,1936,452.856921488,731.598139281,
u52,778,460.849614396,768.912790597,
u53,1837,563.770821992,934.523517085,
u54,1269,626.647754137,885.269136725,
u56,1424,513.384831461,795.660037119,
u57,2249,653.361938639,1066.17654411,
u58,1417,846.889202541,1368.9213148,
u59,4085,393.540514076,839.099075035,
